,Unnamed: 0,Unnamed: 0.1,category,type,difficulty,question,correct_answer,incorrect_answers
131,131,0,Entertainment: Japanese Anime & Manga,boolean,easy,"In Chobits, Hideki found Chii in his apartment.",False,True
132,132,0,Politics,boolean,easy,Former president Theodore Roosevelt (1900-1908)  ran for another term under the Progressive Party in 1912.,True,False
136,136,0,History,boolean,medium,The Korean War ended in 1953 without any ceasefire.,False,True
137,137,0,History,boolean,medium,"Sir Issac Newton served as a Member of Parliament, but the only recorded time he spoke was to complain about a draft in the chambers.",True,False
139,139,0,Geography,boolean,medium,Seoul is the capital of North Korea.,False,True
140,140,0,Science: Mathematics,boolean,medium,The Pythagorean theorem states that the square of the hypotenuse is equal to the product of the squares of the other two sides.,False,True
141,141,0,Geography,boolean,medium,The surface area of Russia is slightly larger than that of the dwarf planet Pluto.,True,False
142,142,0,Science & Nature,boolean,medium,The planet Mars has two moons orbiting it.,True,False
143,143,0,Entertainment: Music,boolean,easy,Eurobeat is primarily an Italian genre of music.,True,False
145,145,0,Entertainment: Video Games,boolean,easy,Luigi is taller than Mario?,True,False
146,146,0,Entertainment: Video Games,boolean,easy,Donkey Kong was originally set to be a Popeye arcade game.,True,False
147,147,0,Animals,boolean,easy,A bear does NOT defecate during hibernation. ,True,False
148,148,0,General Knowledge,boolean,easy,Bulls are attracted to the color red.,False,True
149,149,0,Geography,boolean,medium,Gothenburg is the capital of Sweden.,False,True
151,151,0,History,boolean,hard,The fourth funnel of the RMS Titanic was fake designed to make the ship look more powerful and symmetrical.,True,False
152,152,0,General Knowledge,boolean,medium,Kissing someone for one minute burns about 2 calories.,True,False
154,154,0,Vehicles,boolean,easy,The full English name of the car manufacturer BMW is Bavarian Motor Works,True,False
161,161,0,Science: Computers,boolean,easy,The Windows ME operating system was released in the year 2000.,True,False
162,162,0,Politics,boolean,hard,Joko Widodo has appeared in the cover of a TIME magazine.,True,False
163,163,0,General Knowledge,boolean,medium,Albert Einstein had trouble with mathematics when he was in school.,False,True
164,164,0,Geography,boolean,easy,California is larger than Japan.,True,False
167,167,0,Geography,boolean,easy,Tokyo is the capital of Japan.,True,False
168,168,0,Art,boolean,easy,Leonardo da Vinci was not the creator of the Mona Lisa.,False,True
169,169,0,Politics,boolean,hard,"George Clinton, Vice President of the United States (1805-1812), is an ancestor of President Bill Clinton.",False,True
170,170,0,Geography,boolean,easy,Hungary is the only country in the world beginning with H.,False,True
172,172,0,Science & Nature,boolean,easy,Psychology is the science of behavior and mind.,True,False
175,175,0,Politics,boolean,medium,"Jeb Bush was elected as Governor of Florida in 2002, starting his political career.",False,True
176,176,0,Science: Computers,boolean,medium,The first computer bug was formed by faulty wires.,False,True
177,177,0,General Knowledge,boolean,easy,The Great Wall of China is visible from the moon.,False,True
181,181,0,Geography,boolean,easy,Vatican City is a country.,True,False
183,183,0,History,boolean,hard,The Kingdom of Prussia briefly held land in Estonia.,False,True
184,184,0,Entertainment: Music,boolean,medium,"Scottish producer Calvin Harris is from the town of Dumfries, Scotland.",True,False
186,186,0,Politics,boolean,easy,"In 2016, the United Kingdom voted to stay in the EU.",False,True
190,190,0,Science: Computers,boolean,easy,Ada Lovelace is often considered the first computer programmer.,True,False
192,192,0,Entertainment: Video Games,boolean,easy,The PlayStation was originally a joint project between Sega and Sony that was a Sega Genesis with a disc drive.,False,True
193,193,0,Animals,boolean,easy,"In 2016, the IUCN reclassified the status of Giant Pandas from endangered to vulnerable.",True,False
196,196,0,General Knowledge,boolean,easy,"Romanian belongs to the Romance language family, shared with French, Spanish, Portuguese and Italian. ",True,False
197,197,0,Geography,boolean,medium,Japan has left-hand side traffic.,True,False
198,198,0,Entertainment: Books,boolean,hard,"Harry Potter was born on July 31st, 1980.",True,False
199,199,0,Sports,boolean,easy,"In association football, or soccer, a corner kick is when the game restarts after someone scores a goal.",False,True
202,202,0,Science: Computers,boolean,medium,Android versions are named in alphabetical order.,True,False
206,206,0,Geography,boolean,easy,"Rhode Island is actually located on the US mainland, despite its name.",True,False
207,207,0,Animals,boolean,medium,You can tell the age of a ladybird by counting the spots on his back.,False,True
208,208,0,Entertainment: Music,boolean,easy,The music group Daft Punk got their name from a negative review they recieved.,True,False
212,212,0,Entertainment: Video Games,boolean,medium,Super Mario Bros. was released in 1990.,False,True
216,216,0,Geography,boolean,medium,"The longest place named in the United States is Lake Chargoggagoggmanchauggagoggchaubunagungamaugg, located near Webster, MA.",True,False
220,220,0,General Knowledge,boolean,easy,The color orange is named after the fruit.,True,False
224,224,0,General Knowledge,boolean,easy,"In 2010, Twitter and the United States Library of Congress partnered together to archive every tweet by American citizens.",True,False
225,225,0,History,boolean,medium,Theodore Roosevelt Jr. was the only General involved in the initial assault on D-Day.,True,False
226,226,0,Mythology,boolean,medium,The Japanese god Izanagi successfully returned his wife Izanami from the Underworld.,False,True
227,227,0,Science: Computers,boolean,medium,AMD created the first consumer 64-bit processor.,True,False
228,228,0,Entertainment: Japanese Anime & Manga,boolean,medium,"The anime Attack on Titan was directed by Tetsurō Araki, the same person who directed the anime Highschool of the Dead.",True,False
229,229,0,History,boolean,medium,United States President Ronald Reagan was the first president to appoint a woman to the Supreme Court. ,True,False
232,232,0,Entertainment: Television,boolean,easy,"In Battlestar Galactica (2004), Cylons were created by man as cybernetic workers and soldiers.",True,False
233,233,0,Politics,boolean,medium,"The State of Queensland, Australia voted NO to a referendum for daylight savings in 1992.",True,False
235,235,0,Entertainment: Television,boolean,medium,"Klingons respect their disabled comrades, and those who are old, injuried, and helpless.",False,True
237,237,0,General Knowledge,boolean,easy,The National Animal of Scotland is the Unicorn.,True,False
238,238,0,Mythology,boolean,easy,A wyvern is the same as a dragon.,False,True
242,242,0,Entertainment: Board Games,boolean,easy,Snakes and Ladders was originally created in India?,True,False
244,244,0,Geography,boolean,easy,Greenland is covered with grass and Iceland covered with ice.,False,True
246,246,0,General Knowledge,boolean,medium,There are 86400 seconds in a day.,True,False
249,249,0,Sports,boolean,easy,Peyton Manning retired after winning Super Bowl XLIX.,False,True
251,251,0,General Knowledge,boolean,medium,An eggplant is a vegetable.,False,True
253,253,0,Mythology,boolean,easy,"According to Greek Mythology, Zeus can control lightning.",True,False
254,254,0,General Knowledge,boolean,easy,You can legally drink alcohol while driving in Mississippi.,True,False
256,256,0,Geography,boolean,medium,The Sonoran Desert is located in eastern Africa.,False,True
257,257,0,Entertainment: Video Games,boolean,easy,"In Splatoon, the Squid Sisters are named Tako and Yaki.",False,True
258,258,0,Sports,boolean,medium,The Olympics tennis court is a giant green screen.,True,False
260,260,0,Entertainment: Video Games,boolean,easy,The end credits sequence in Grand Theft Auto 5 is over half an hour long.,True,False
263,263,0,Vehicles,boolean,medium,The General Motors EV1 was the first street-legal production electric vehicle.,False,True
264,264,0,Entertainment: Video Games,boolean,medium,Pistons were added to Minecraft in Beta 1.5.,False,True
265,265,0,Science: Computers,boolean,medium,The last Windows operating system to be based on the Windows 9x kernel was Windows 98.,False,True
269,269,0,Science & Nature,boolean,hard,The chemical element Lithium is named after the country of Lithuania.,False,True
271,271,0,Entertainment: Video Games,boolean,easy,"In Heroes of the Storm, the Cursed Hollow map gimmick requires players to kill the undead to curse the enemy team.",False,True
276,276,0,Vehicles,boolean,medium,The majority of Subaru vehicles are made in China.,False,True
277,277,0,Entertainment: Video Games,boolean,medium,Nintendo started out as a playing card manufacturer.,True,False
282,282,0,Science & Nature,boolean,medium,A defibrillator is used to start up a heartbeat once a heart has stopped beating.,False,True
283,283,0,Science: Computers,boolean,medium,"To bypass US Munitions Export Laws, the creator of the PGP published all the source code in book form. ",True,False
284,284,0,Politics,boolean,easy,Denmark has a monarch.,True,False
288,288,0,Entertainment: Japanese Anime & Manga,boolean,easy,No Game No Life first aired in 2014.,True,False
289,289,0,Geography,boolean,easy,Toronto is the capital city of the North American country of Canada.,False,True
290,290,0,General Knowledge,boolean,easy,"When you cry in space, your tears stick to your face.",True,False
291,291,0,Science: Computers,boolean,easy,The NVidia GTX 1080 gets its name because it can only render at a 1920x1080 screen resolution.,False,True
292,292,0,Animals,boolean,easy,A caterpillar has more muscles than humans do.,True,False
293,293,0,Science: Mathematics,boolean,medium,Zero factorial is equal to zero. ,False,True
294,294,0,Politics,boolean,medium,Helen Clark was the 37th Prime Minister of Australia.,False,True
295,295,0,Entertainment: Video Games,boolean,easy,Activision created Battlefield 1.,False,True
296,296,0,Geography,boolean,hard,The two largest ethnic groups of Belgium are Flemish and Walloon. ,True,False
302,302,0,General Knowledge,boolean,easy,It is automatically considered entrapment in the United States if the police sell you illegal substances without revealing themselves.,False,True
304,304,0,Geography,boolean,medium,The Southeast Asian island of Borneo is politically divided among 3 countries.,True,False
305,305,0,Entertainment: Video Games,boolean,easy,Niko Bellic is the protagonist of Grand Theft Auto IV.,True,False
307,307,0,History,boolean,easy,Adolf Hitler was a german soldier in World War I.,True,False
308,308,0,Science: Computers,boolean,hard,DHCP stands for Dynamic Host Configuration Port.,False,True
309,309,0,History,boolean,medium,Abraham Lincoln was the first U.S. President to be born outside the borders of the thirteen original states. ,True,False
310,310,0,Animals,boolean,medium,The Platypus is a mammal.,True,False
312,312,0,Entertainment: Video Games,boolean,easy,"The Konami Code is known as Up, Up, Down, Down, Left, Right, Right, Left, B, A, Start.",False,True
315,315,0,Entertainment: Video Games,boolean,medium,Resident Evil 4 was originally meant to be a Nintendo GameCube exclusive.,True,False
320,320,0,Science & Nature,boolean,easy,A plant that has a life cycle for more than a year is known as an annual.,False,True
321,321,0,Animals,boolean,medium,An octopus can fit through any hole larger than its beak.,True,False
322,322,0,Entertainment: Video Games,boolean,easy,"The Indie Game Development Studio Cing, developers of Hotel Dusk and Last Window, went bankrupt on March 1st, 2010.",True,False
323,323,0,Geography,boolean,easy,The Republic of Malta is the smallest microstate worldwide.,False,True
325,325,0,Animals,boolean,easy,Kangaroos keep food in their pouches next to their children.,False,True
326,326,0,Entertainment: Video Games,boolean,easy,In Kingdom Hearts the Paopu fruit is said to intertwine the destinies for two people forever.,True,False
327,327,0,Science & Nature,boolean,easy,Salt is 100% composed of Sodium.,False,True
328,328,0,Science & Nature,boolean,easy,An atom contains a nucleus.,True,False
330,330,0,Science: Computers,boolean,medium,Early RAM was directly seated onto the motherboard and could not be easily removed.,True,False
335,335,0,Science: Mathematics,boolean,easy,The sum of any two odd integers is odd.,False,True
336,336,0,General Knowledge,boolean,easy,Scotland voted to become an independent country during the referendum from September 2014.,False,True
337,337,0,Geography,boolean,easy,New Haven is the capital city of the state of Connecticut in the United States.,False,True
338,338,0,Science & Nature,boolean,medium,Pneumonoultramicroscopicsilicovolcanoconiosis is a synonym for the disease known as silicosis.,True,False
340,340,0,Science & Nature,boolean,medium,Sound can travel through a vacuum.,False,True
341,341,0,Sports,boolean,easy,Manchester United won the 2013-14 English Premier League.,False,True
342,342,0,History,boolean,medium,"In World War II, Hawker Typhoons served in the Pacific theater.",False,True
343,343,0,Science: Mathematics,boolean,medium,"The proof for the Chinese Remainder Theorem used in Number Theory was NOT developed by its first publisher, Sun Tzu.",True,False
344,344,0,Entertainment: Film,boolean,medium,The colour of the pills in the Matrix were Blue and Yellow.,False,True
345,345,0,Geography,boolean,medium,Vietnam is the only country in the world that starts with V. ,False,True
346,346,0,History,boolean,easy,"United States President John F. Kennedy was assassinated during his presidential motorcade in Atlanta, Georgia on November 22nd, 1963.",False,True
349,349,0,Politics,boolean,easy,Russia passed a law in 2013 which outlaws telling children that homosexuals exist.,True,False
350,350,0,History,boolean,hard,"The Battle of Trafalgar took place on October 23rd, 1805",False,True
351,351,0,Science: Mathematics,boolean,medium,E = MC3,False,True
352,352,0,Vehicles,boolean,medium,Bugatti was an Italian car manufacturer.,False,True
354,354,0,Entertainment: Video Games,boolean,medium,David Baszucki was a co-founder of ROBLOX Corporation.,True,False
355,355,0,History,boolean,hard,The USS Missouri (BB-63) last served in the Korean War.,False,True
358,358,0,Science: Mathematics,boolean,hard,"In Topology, the complement of an open set is a closed set.",True,False
361,361,0,Science: Mathematics,boolean,easy,A scalene triangle has two sides of equal length.,False,True
362,362,0,General Knowledge,boolean,medium,Popcorn was invented in 1871 by Frederick W. Rueckheim in the USA where he sold the snack on the streets of Chicago.,False,True
364,364,0,Science & Nature,boolean,medium,The Neanderthals were a direct ancestor of modern humans.,False,True
365,365,0,Science & Nature,boolean,medium,The Doppler effect applies to light.,True,False
367,367,0,Entertainment: Books,boolean,easy,The book 1984 was published in 1949.,True,False
368,368,0,Entertainment: Japanese Anime & Manga,boolean,easy,"In Kill La Kill, the weapon of the main protagonist is a katana. ",False,True
369,369,0,General Knowledge,boolean,easy,The Sun rises from the North.,False,True
373,373,0,Celebrities,boolean,easy,Tupac Shakur died due to complications from being stabbed in 1996.,False,True
374,374,0,Animals,boolean,medium,Finnish Lapphund dogs were used for herding reindeer.,True,False
375,375,0,Science & Nature,boolean,medium,A person can get sunburned on a cloudy day.,True,False
376,376,0,Mythology,boolean,easy,"In Norse mythology, Thor once dressed as a woman.",True,False
377,377,0,Entertainment: Musicals & Theatres,boolean,easy,"In the play Oedipus Rex, Oedipus kills his father due to jealousy in loving his mother.",False,True
382,382,0,Science: Computers,boolean,easy,RAM stands for Random Access Memory.,True,False
386,386,0,Mythology,boolean,hard,Rannamaari was a sea demon that haunted the people of the Maldives and had to be appeased monthly with the sacrifice of a virgin girl.,True,False
389,389,0,Entertainment: Video Games,boolean,easy,"In Terraria, you can craft the Cell Phone pre-hardmode.",True,False
391,391,0,Entertainment: Cartoon & Animations,boolean,medium,Nickelodeon rejected the pilot to Adventure Time.,True,False
393,393,0,Geography,boolean,easy,Nova Scotia is on the east coast of Canada.,True,False
395,395,0,Entertainment: Video Games,boolean,easy,English new wave musician Gary Numan founded the video game development company Facepunch Studios in March 2009.,False,True
396,396,0,General Knowledge,boolean,easy,French is an official language in Canada.,True,False
397,397,0,Entertainment: Video Games,boolean,easy,Pac-Man was invented by the designer Toru Iwatani while he was eating pizza.,True,False
398,398,0,Entertainment: Video Games,boolean,medium,Metal Gear Solid V: The Phantom Pain runs on the Fox Engine.,True,False
399,399,0,Science & Nature,boolean,medium,Anatomy considers the forms of macroscopic structures such as organs and organ systems.,True,False
400,400,0,Animals,boolean,easy,Rabbits are rodents.,False,True
401,401,0,Politics,boolean,medium,George W. Bush lost the popular vote in the 2004 United States presidential election.,False,True
402,402,0,Entertainment: Music,boolean,medium,"3 members of 2 Live Crew were arrested for playing songs from their album, As Nasty As They Wanna Be, live.",True,False
403,403,0,Science & Nature,boolean,easy,"Celiac Disease is a disease that effects the heart, causing those effected to be unable to eat meat.",False,True
405,405,0,Science: Computers,boolean,medium,The HTML5 standard was published in 2014.,True,False
407,407,0,History,boolean,easy,The Spitfire originated from a racing plane.,True,False
408,408,0,General Knowledge,boolean,easy,A scientific study on peanuts in bars found traces of over 100 unique specimens of urine.,False,True
409,409,0,Entertainment: Video Games,boolean,easy,Danganronpa 2: Goodbye Despair featured all of the surviving students from the first game.,True,False
410,410,0,Animals,boolean,easy,A flock of crows is known as a homicide.,False,True
411,411,0,Science: Computers,boolean,easy,The Windows 7 operating system has six main editions.,True,False
413,413,0,Geography,boolean,medium,Norway has a larger land area than Sweden.,False,True
414,414,0,Entertainment: Board Games,boolean,hard,The board game Go has more possible legal positions than the number of atoms in the visible universe.,True,False
415,415,0,Entertainment: Film,boolean,easy,Actor Tommy Chong served prison time.,True,False
416,416,0,Science & Nature,boolean,easy,Igneous rocks are formed by excessive heat and pressure.,False,True
419,419,0,Politics,boolean,easy,Donald Trump won the popular vote in the 2016 United States presidential election.,False,True
420,420,0,Entertainment: Television,boolean,medium,Bob Ross was a US Air Force pilot.,False,True
425,425,0,Geography,boolean,easy,Greenland is almost as big as Africa.,False,True
426,426,0,General Knowledge,boolean,medium,The sum of all the numbers on a roulette wheel is 666.,True,False
429,429,0,General Knowledge,boolean,medium,Cucumbers are usually more than 90% water.,True,False
433,433,0,Entertainment: Music,boolean,hard,The band STRFKR was also briefly known as Pyramiddd.,True,False
434,434,0,Science & Nature,boolean,easy,An average human can go two weeks without water.,False,True
437,437,0,General Knowledge,boolean,medium,Francis Bacon died from a fatal case of pneumonia while he was attempting to preserve meat by stuffing a chicken with snow.,True,False
440,440,0,Animals,boolean,medium,The average lifespan of a wildcat is only around 5-6 years. ,False,True
442,442,0,Entertainment: Board Games,boolean,easy,"There is a Donald Trump Board Game, which was made in 1989.",True,False
443,443,0,Entertainment: Film,boolean,easy,"In the original Star Wars trilogy, David Prowse was the actor who physically portrayed Darth Vader.",True,False
444,444,0,Entertainment: Video Games,boolean,medium,"In Monster Hunter Generations, guild style is a type of hunting style.",True,False
445,445,0,Science: Computers,boolean,medium,"Linus Sebastian is the creator of the Linux kernel, which went on to be used in Linux, Android, and Chrome OS.",False,True
446,446,0,Entertainment: Music,boolean,medium,Nick Mason is the only member to appear on every Pink Floyd album.,True,False
447,447,0,Sports,boolean,medium,"During Wimbledon, spectators in the grounds can buy the tennis balls that have been used in matches.",True,False
448,448,0,Science: Computers,boolean,easy,Linus Torvalds created Linux and Git.,True,False
450,450,0,Science & Nature,boolean,medium,Type 1 diabetes is a result of the liver working improperly.,False,True
452,452,0,History,boolean,medium,"In 1967, a magazine published a story about extracting hallucinogenic chemicals from bananas to raise moral questions about banning drugs.",True,False
453,453,0,Entertainment: Comics,boolean,medium,"In the webcomic Homestuck, the first character introduced is Dave Strider.",False,True
454,454,0,Geography,boolean,medium,Liechtenstein does not have an airport.,True,False
455,455,0,Entertainment: Video Games,boolean,medium,Mortal Kombat was almost based on Jean-Claude Van Damme movie.,True,False
456,456,0,Sports,boolean,medium,"In 2008, Usain Bolt set the world record for the 100 meters with one shoelace untied.",True,False
458,458,0,Geography,boolean,easy,San Marino is the only country completely surrounded by another country.,False,True
459,459,0,Geography,boolean,medium,Israel is 7 hours ahead of New York.,True,False
462,462,0,Celebrities,boolean,easy,"Marilyn Monroe was born on July 1, 1926.",False,True
464,464,0,Science: Mathematics,boolean,medium,"111,111,111 x 111,111,111 = 12,345,678,987,654,321",True,False
465,465,0,History,boolean,medium,"If you grab the bladed end of a longsword in a specific way, you will not cut yourself.",True,False
467,467,0,Art,boolean,medium,"Venus of Willendorf is one of the earliest works of art, depicting the planets Mars and Venus embrace in the heavens at night.",False,True
468,468,0,General Knowledge,boolean,medium,The US emergency hotline is 911 because of the September 11th terrorist attacks.,False,True
469,469,0,Sports,boolean,medium,Soccer player Cristiano Ronaldo opened a museum dedicated to himself.,True,False
471,471,0,Entertainment: Film,boolean,easy,Ewan McGregor did not know the name of the second prequel film of Star Wars during and after filming.,True,False
473,473,0,General Knowledge,boolean,hard,Pluto is a planet.,False,True
477,477,0,Vehicles,boolean,hard,In 1993 Swedish car manufacturer Saab experimented with replacing the steering wheel with a joystick in a Saab 9000.,True,False
479,479,0,Entertainment: Video Games,boolean,hard,Unturned originally started as a Roblox game.,True,False
480,480,0,Science: Computers,boolean,easy,Pointers were not used in the original C programming language; they were added later on in C++.,False,True
481,481,0,General Knowledge,boolean,medium,Furby was released in 1998.,True,False
482,482,0,Entertainment: Video Games,boolean,easy,Tetris is the #1 best-selling video game of all-time.,True,False
483,483,0,History,boolean,easy,Adolf Hitler was tried at the Nuremberg trials.,False,True
484,484,0,History,boolean,medium,Adolf Hitler was accepted into the Vienna Academy of Fine Arts.,False,True
485,485,0,Entertainment: Japanese Anime & Manga,boolean,easy,Kiznaiver is an adaptation of a manga.,False,True
488,488,0,History,boolean,medium,The M41 Walker Bulldog remains in service in some countries to this day.,True,False
489,489,0,Art,boolean,medium,Vincent van Gogh cut off one of his ears.,True,False
490,490,0,Science: Computers,boolean,medium,The open source program Redis is a relational database server.,False,True
491,491,0,Vehicles,boolean,medium,"When BMW was established in 1916, it was producing automobiles.",False,True
494,494,0,Animals,boolean,easy,The Axolotl is an amphibian that can spend its whole life in a larval state.,True,False
495,495,0,Science & Nature,boolean,medium,Chickens can live without a head.,True,False
496,496,0,Sports,boolean,medium,Skateboarding will be included in the 2020 Summer Olympics in Tokyo.,True,False
497,497,0,Entertainment: Video Games,boolean,easy,"In Team Fortress 2, being disguised as a scout or medic results in a speed boost.",False,True
