,category,type,difficulty,question,correct_answer,incorrect_answers
0,Entertainment: Television,boolean,easy,"In &quot;Star Trek&quot;, Klingons are aliens.",True,False
0,Science & Nature,boolean,hard,The value of one Calorie is different than the value of one calorie.,True,False
0,History,boolean,easy,The French Kingdom helped the United States gain their independence over Great Britain during the Revolutionary War.,True,False
0,Entertainment: Television,boolean,medium,"In &quot;Star Trek: The Next Generation&quot;, Data is the only android in existence.",False,True
0,Entertainment: Film,boolean,easy,"&quot;Foodfight!&quot; earned less than $80,000 at box office.",True,False
0,Entertainment: Video Games,boolean,medium,"In career mode of &quot;Need for Speed: Underground 2&quot;, the first car the player can drive is the BMW M3 GTR.",False,True
0,Entertainment: Video Games,boolean,easy,"In &quot;Need for Speed: Porsche Unleashed&quot;, the player can only drive cars manufactured by Porsche.",True,False
0,Vehicles,boolean,easy,BMW M GmbH is a subsidiary of BMW AG that focuses on car performance.,True,False
0,Animals,boolean,medium,Tigers have one colour of skin despite the stripey fur.,False,True
0,Entertainment: Music,boolean,medium,A Facebook campaign placed Rage Against The Machine&#039;s &quot;Killing in the Name Of&quot; as the UK Christmas Number 1 in 2009.,True,False
0,Geography,boolean,medium,"The title of the 1969 film &quot;Krakatoa, East_of Java&quot; is incorrect, as Krakatoa is in fact west of Java.",True,False
0,Entertainment: Television,boolean,medium,"AMC&#039;s &quot;The Walking Dead&quot;, Rick, Carl, Daryl, Morgan, Carol and Maggie were introduced to us in Season 1.",False,True
0,Entertainment: Video Games,boolean,easy,The main character in the &quot;Half-Life&quot; franchise is named Morgan Freeman.,False,True
0,Animals,boolean,medium,"The Ceratosaurus, a dinosaur known for having a horn on the top of its nose, is also known to be a decendent of the Tyrannosaurus Rex.",False,True
0,History,boolean,easy,The Cold War ended with Joseph Stalin&#039;s death.,False,True
0,Entertainment: Film,boolean,easy,Matt Damon played an astronaut stranded on an extraterrestrial planet in both of the movies Interstellar and The Martian.,True,False
0,Science: Computers,boolean,medium,All program codes have to be compiled into an executable file in order to be run. This file can then be executed on any machine.,False,True
0,Science & Nature,boolean,medium,Steel is an alloy of Iron and Carbon.,True,False
0,History,boolean,medium,"&quot;I disapprove of what you say, but I will defend to the death your right to say it&quot; is a quote from French philosopher Voltaire.",False,True
0,Science & Nature,boolean,medium,Shrimp can swim backwards.,True,False
0,Entertainment: Music,boolean,medium,The country song  &ldquo;A Boy Named Sue&rdquo; was written by Shel Silverstein.,True,False
0,History,boolean,medium,Brezhnev was the 5th leader of the USSR.,True,False
0,Entertainment: Video Games,boolean,easy,The game &quot;Battlefield 1&quot; takes place during World War I.,True,False
0,Entertainment: Music,boolean,medium,Ashley Frangipane performs under the stage name Halsey.,True,False
0,Science: Gadgets,boolean,easy,The communication protocol NFC stands for Near-Field Control.,False,True
0,General Knowledge,boolean,medium,You are allowed to sell your soul on eBay.,False,True
0,Geography,boolean,easy,Ottawa is the capital of Canada.,True,False
0,Science & Nature,boolean,hard,Scientists can grow teeth from urine.,True,False
0,Entertainment: Video Games,boolean,easy,The ultimate phrase used by Pharah from Overwatch is: &quot;Justice rains from above!&quot;,True,False
0,Entertainment: Video Games,boolean,easy,Minecraft can be played with a virtual reality headset.,True,False
0,Entertainment: Television,boolean,medium,The television show Doctor Who first aired in 1963.,True,False
0,Entertainment: Board Games,boolean,easy,The Angry Video Game Nerd&#039;s alter ego is &quot;Board James&quot;.,True,False
0,Entertainment: Video Games,boolean,medium,TF2: The Medic will be credited for an assist if he heals a Spy that successfully saps a building.,True,False
0,Entertainment: Video Games,boolean,easy,Rebecca Chambers does not appear in any Resident Evil except for the original Resident Evil and the Gamecube remake.,False,True
0,Geography,boolean,medium,The capital of the US State Ohio is the city of Chillicothe.,False,True
0,Geography,boolean,medium,You could walk from Norway to North Korea while only passing through Russia.,True,False
0,Entertainment: Film,boolean,easy,"In the original Star Wars trilogy, Alec Guinness provided the voice for Darth Vader.",False,True
0,Mythology,boolean,medium,"In Greek mythology, Hera is the goddess of harvest.",False,True
0,Politics,boolean,medium,"During the 2016 United States presidential election, the State of California possessed the most electoral votes, having 55.",True,False
0,Science: Computers,boolean,medium,The first dual-core CPU was the Intel Pentium D.,False,True
0,Science & Nature,boolean,easy,An Astronomical Unit is the distance between Earth and the Moon.,False,True
0,Sports,boolean,medium,Formula E is an auto racing series that uses hybrid electric race cars.,False,True
0,History,boolean,medium,Oxford University is older than the Aztec Empire. ,True,False
0,Entertainment: Film,boolean,easy,George Lucas directed the entire original Star Wars trilogy.,False,True
0,Entertainment: Music,boolean,easy,Daft Punk originated in France.,True,False
0,Entertainment: Video Games,boolean,medium,"In the video game &quot;Transistor&quot;, &quot;Red&quot; is the name of the main character.",True,False
0,Mythology,boolean,medium,The Roman god &quot;Jupiter&quot; was first known as &quot;Zeus&quot; to the Greeks.,True,False
0,Science & Nature,boolean,medium,Sugar contains fat.,False,True
0,Celebrities,boolean,hard,Lady Gaga&#039;s real name is Stefani Joanne Angelina Germanotta.,True,False
0,Entertainment: Cartoon & Animations,boolean,easy,Waylon Smithers from &quot;The Simpsons&quot; was originally black when he first appeared in the series.,True,False
0,General Knowledge,boolean,medium,Haggis is traditionally ate on Burns Night.,True,False
0,History,boolean,easy,The United States of America was the first country to launch a man into space.,False,True
0,Mythology,boolean,hard,Janus was the Roman god of doorways and passageways.,True,False
0,Entertainment: Music,boolean,easy,"In 1993, Prince changed his name to an unpronounceable symbol because he was unhappy with his contract with Warner Bros.",True,False
0,Science & Nature,boolean,easy,Not including false teeth; A human has two sets of teeth in their lifetime.,True,False
0,Science & Nature,boolean,medium,The most frequent subconscious activity repeated by the human body is blinking.,False,True
0,General Knowledge,boolean,medium,The pickled gherkin was first added to hamburgers because a US health law required all fast-food to include a source of Vitamin C.,False,True
0,Science: Computers,boolean,medium,The common software-programming acronym &quot;I18N&quot; comes from the term &quot;Interlocalization&quot;.,False,True
0,Science & Nature,boolean,medium,Hippopotomonstrosesquippedaliophobia is the irrational fear of long words.,True,False
0,General Knowledge,boolean,easy,Video streaming website YouTube was purchased in it&#039;s entirety by Facebook for US$1.65 billion in stock.,False,True
0,History,boolean,medium,The first televised presidential debate was between Jimmy Carter and Gerald Ford.,False,True
0,General Knowledge,boolean,easy,Gumbo is a stew that originated in Louisiana.,True,False
0,Geography,boolean,medium,"There are no roads in/out of Juneau, Alaska.",True,False
0,Entertainment: Film,boolean,easy,The 2010 film &quot;The Social Network&quot; is a biographical drama film about MySpace founder Tom Anderson.,False,True
0,Entertainment: Video Games,boolean,easy,Faust is a playable character in &quot;Guilty Gear Xrd Revelator&quot;.,True,False
0,Science & Nature,boolean,hard,It was once believed that injecting shark cartilage into people would prevent them from contracting cancer.,True,False
0,Vehicles,boolean,medium,The Chevrolet Corvette has always been made exclusively with V8 engines only.,False,True
0,Science: Computers,boolean,medium,&quot;Windows NT&quot; is a monolithic kernel.,False,True
0,Sports,boolean,medium,Tennis was once known as Racquetball.,False,True
0,Entertainment: Cartoon & Animations,boolean,easy,Bill Cipher in the show &quot;Gravity Falls&quot; is the good guy.,False,True
0,Politics,boolean,easy,"Despite being seperated into multiple countries, The Scandinavian countries are unified by all having the same monarch.",False,True
0,Entertainment: Film,boolean,easy,Shaquille O&#039;Neal appeared in the 1997 film &quot;Space Jam&quot;.,False,True
0,General Knowledge,boolean,easy,"On average, at least 1 person is killed by a drunk driver in the United States every hour.",True,False
0,Entertainment: Film,boolean,easy,"Samuel L. Jackson had the words, &#039;Bad Motherf*cker&#039; in-scripted on his lightsaber during the filming of Star Wars.",True,False
0,Entertainment: Film,boolean,easy,In Alfred Hitchcock&#039;s film &#039;Psycho&#039; it is said he used chocolate syrup to simulate the blood in the famous shower scene from ,True,False
0,Entertainment: Books,boolean,easy,"&quot;Elementary, my dear Watson&quot; is a phrase that is never truly said within the Conan Doyle books of Sherlock Holmes.",True,False
0,General Knowledge,boolean,easy,Adolf Hitler was born in Australia. ,False,True
0,Entertainment: Japanese Anime & Manga,boolean,easy,"In the &quot;Toaru Kagaku no Railgun&quot; anime,  espers can only reach a maximum of level 6 in their abilities.",False,True
0,Entertainment: Japanese Anime & Manga,boolean,easy,The name of the attack &quot;Kamehameha&quot; in Dragon Ball Z was named after a famous king of Hawaii.,True,False
0,Entertainment: Music,boolean,medium,EDM label Monstercat signs tracks instead of artists.,True,False
0,Vehicles,boolean,medium,Arriva is owned by the Deutsche Bahn.,True,False
0,Geography,boolean,hard,"Switzerland has four national languages, English being one of them.",False,True
0,Entertainment: Video Games,boolean,medium,"In Rocket League, you can play Basketball.",True,False
0,History,boolean,easy,"In World War ll, Great Britian used inflatable tanks on the ports of Great Britain to divert Hitler away from Normandy/D-day landing.",True,False
0,Science: Computers,boolean,easy,Linux was first created as an alternative to Windows XP.,False,True
0,Entertainment: Video Games,boolean,easy,Watch_Dogs 2 is a prequel.,False,True
0,Entertainment: Television,boolean,easy,Klingons express emotion in art through opera and poetry.,True,False
0,Animals,boolean,easy,The Killer Whale is considered a type of dolphin.,True,False
0,Entertainment: Video Games,boolean,easy,&quot;Metal Gear Solid 3: Snake Eater&quot; was released in 2004.,True,False
0,Entertainment: Video Games,boolean,medium,The Fiat Multipla is a drivable car in &quot;Forza Horizon 3&quot;.,False,True
0,Entertainment: Video Games,boolean,medium,"In &quot;League of Legends&quot;, there exists four different types of Dragon.",False,True
0,General Knowledge,boolean,medium,The scientific name for the Southern Lights is Aurora Australis?,True,False
0,Entertainment: Japanese Anime & Manga,boolean,easy,"In Chobits, Hideki found Chii in his apartment.",False,True
0,Politics,boolean,easy,Former president Theodore Roosevelt (1900-1908)  ran for another term under the Progressive Party in 1912.,True,False
0,Entertainment: Books,boolean,easy,&quot;Green Eggs and Ham&quot; consists of only 50 different words.,True,False
0,Entertainment: Music,boolean,hard,The singer Billie Holiday was also known as &quot;Lady Day&quot;.,True,False
0,Entertainment: Cartoon & Animations,boolean,medium,Donald Duck played the role of Bob Cratchit in Disney&#039;s 1983 adaptation of A Christmas Carol.,False,True
0,History,boolean,medium,The Korean War ended in 1953 without any ceasefire.,False,True
0,History,boolean,medium,"Sir Issac Newton served as a Member of Parliament, but the only recorded time he spoke was to complain about a draft in the chambers.",True,False
0,Entertainment: Cartoon & Animations,boolean,easy,"In the &quot;Shrek&quot; film franchise, Donkey is played by Eddie Murphy.",True,False
0,Geography,boolean,medium,Seoul is the capital of North Korea.,False,True
0,Science: Mathematics,boolean,medium,The Pythagorean theorem states that the square of the hypotenuse is equal to the product of the squares of the other two sides.,False,True
0,Geography,boolean,medium,The surface area of Russia is slightly larger than that of the dwarf planet Pluto.,True,False
0,Science & Nature,boolean,medium,The planet Mars has two moons orbiting it.,True,False
0,Entertainment: Music,boolean,easy,Eurobeat is primarily an Italian genre of music.,True,False
0,Vehicles,boolean,medium,The Japanese Shinkansen beat the French TGV&#039;s speed record for fastest electric rail train.,False,True
0,Entertainment: Video Games,boolean,easy,Luigi is taller than Mario?,True,False
0,Entertainment: Video Games,boolean,easy,Donkey Kong was originally set to be a Popeye arcade game.,True,False
0,Animals,boolean,easy,A bear does NOT defecate during hibernation. ,True,False
0,General Knowledge,boolean,easy,Bulls are attracted to the color red.,False,True
0,Geography,boolean,medium,Gothenburg is the capital of Sweden.,False,True
0,Art,boolean,medium,Pablo Picasso is one of the founding fathers of &quot;Cubism.&quot;,True,False
0,History,boolean,hard,The fourth funnel of the RMS Titanic was fake designed to make the ship look more powerful and symmetrical.,True,False
0,General Knowledge,boolean,medium,Kissing someone for one minute burns about 2 calories.,True,False
0,Geography,boolean,medium,There exists an island named &quot;Java&quot;.,True,False
0,Vehicles,boolean,easy,The full English name of the car manufacturer BMW is Bavarian Motor Works,True,False
0,Entertainment: Video Games,boolean,medium,"The Sniper&#039;s SMG in Team Fortress 2, was originally intended to be the Scout&#039;s primary weapon.",True,False
0,Entertainment: Video Games,boolean,easy,"In the &quot;Half-Life&quot; series, &quot;H.E.V&quot; stands for &quot;Hazardous Evasiveness Vest&quot;",False,True
0,Science: Computers,boolean,easy,&quot;HTML&quot; stands for Hypertext Markup Language.,True,False
0,Entertainment: Japanese Anime & Manga,boolean,hard,"Throughout the entirety of &quot;Dragon Ball Z&quot;, Goku only kills two characters: a miniboss named Yakon and Kid Buu.",True,False
0,Entertainment: Music,boolean,hard,The song &quot;Mystery Train&quot; was released by artist &quot;Little Junior&#039;s Blue Flames&quot; in 1953.,True,False
0,General Knowledge,boolean,easy,One of Donald Trump&#039;s 2016 Presidential Campaign promises was to build a border wall between the United States and Mexico.,True,False
0,Science: Computers,boolean,easy,The Windows ME operating system was released in the year 2000.,True,False
0,Politics,boolean,hard,Joko Widodo has appeared in the cover of a TIME magazine.,True,False
0,General Knowledge,boolean,medium,Albert Einstein had trouble with mathematics when he was in school.,False,True
0,Geography,boolean,easy,California is larger than Japan.,True,False
0,Entertainment: Video Games,boolean,easy,"In Pok&eacute;mon, Bulbasaur is the only starter pokemon that is a Grass/Poison type.",True,False
0,Science: Mathematics,boolean,medium,A &#039;Millinillion&#039; is a real number.,True,False
0,Geography,boolean,easy,Tokyo is the capital of Japan.,True,False
0,Art,boolean,easy,Leonardo da Vinci was not the creator of the Mona Lisa.,False,True
0,Politics,boolean,hard,"George Clinton, Vice President of the United States (1805-1812), is an ancestor of President Bill Clinton.",False,True
0,Geography,boolean,easy,Hungary is the only country in the world beginning with H.,False,True
0,Entertainment: Video Games,boolean,easy,The ghosts in &quot;Pac-Man&quot; and &quot;Ms. Pac-Man&quot; have completely different behavior.,True,False
0,Science & Nature,boolean,easy,Psychology is the science of behavior and mind.,True,False
0,Entertainment: Video Games,boolean,medium,The character that would eventually become Dr. Eggman was considered for the role of Sega&#039;s new flagship mascot before Sonic was.,True,False
0,Entertainment: Film,boolean,medium,The movie &quot;Tron&quot; received an Oscar nomination for Best Visual Effects.,False,True
0,Politics,boolean,medium,"Jeb Bush was elected as Governor of Florida in 2002, starting his political career.",False,True
0,Science: Computers,boolean,medium,The first computer bug was formed by faulty wires.,False,True
0,General Knowledge,boolean,easy,The Great Wall of China is visible from the moon.,False,True
0,Entertainment: Music,boolean,medium,"Rapper Snoop Dogg&#039;s real name is &#039;Cordozar Calvin Broadus, Jr.&#039;.",True,False
0,Entertainment: Music,boolean,easy,The music video to The Buggle&#039;s &quot;Video Killed the Radio Star&quot; was the first music video to broadcast on MTV.,True,False
0,Science & Nature,boolean,hard,You can calculate Induced Voltage using: &epsilon; =-N * (d&Phi;B)/(d),False,True
0,Geography,boolean,easy,Vatican City is a country.,True,False
0,Art,boolean,easy,Leonardo da Vinci&#039;s Mona Lisa does not have eyebrows.,True,False
0,History,boolean,hard,The Kingdom of Prussia briefly held land in Estonia.,False,True
0,Entertainment: Music,boolean,medium,"Scottish producer Calvin Harris is from the town of Dumfries, Scotland.",True,False
0,Entertainment: Board Games,boolean,medium,In the game &quot;Racko&quot; you may pick up ANY card from the discard pile.,False,True
0,Politics,boolean,easy,"In 2016, the United Kingdom voted to stay in the EU.",False,True
0,Entertainment: Japanese Anime & Manga,boolean,medium,The animated film &quot;Spirited Away&quot; won the Academy Award for Best Animated Feature at the 75th Academy Awards in 2003.,True,False
0,General Knowledge,boolean,medium,"The word &quot;news&quot; originates from the first letters of the 4 main directions on a compass (North, East, West, South).",False,True
0,Entertainment: Japanese Anime & Manga,boolean,easy,The anime &quot;Lucky Star&quot; follows the story of one girl who is unaware she is God.,False,True
0,Science: Computers,boolean,easy,Ada Lovelace is often considered the first computer programmer.,True,False
0,Entertainment: Video Games,boolean,medium,"In &quot;Overwatch,&quot; an allied McCree will say &quot;Step right up&quot; upon using his ultimate ability Deadeye.",True,False
0,Entertainment: Video Games,boolean,easy,The PlayStation was originally a joint project between Sega and Sony that was a Sega Genesis with a disc drive.,False,True
0,Animals,boolean,easy,"In 2016, the IUCN reclassified the status of Giant Pandas from endangered to vulnerable.",True,False
0,Entertainment: Japanese Anime & Manga,boolean,easy,"In the &quot;Melancholy of Haruhi Suzumiya&quot; series, the narrator goes by the nickname Kyon.",True,False
0,Entertainment: Video Games,boolean,easy,"In Pok&eacute;mon Sun and Moon, a male Salandit can evolve to a Salazzle.",False,True
0,General Knowledge,boolean,easy,"Romanian belongs to the Romance language family, shared with French, Spanish, Portuguese and Italian. ",True,False
0,Geography,boolean,medium,Japan has left-hand side traffic.,True,False
0,Entertainment: Books,boolean,hard,"Harry Potter was born on July 31st, 1980.",True,False
0,Sports,boolean,easy,"In association football, or soccer, a corner kick is when the game restarts after someone scores a goal.",False,True
0,Entertainment: Film,boolean,easy,"&quot;Minions&quot; was released on the June 10th, 2015.",False,True
0,Entertainment: Music,boolean,easy,Scatman John&#039;s real name was John Paul Larkin.,True,False
0,Science: Computers,boolean,medium,Android versions are named in alphabetical order.,True,False
0,Entertainment: Japanese Anime & Manga,boolean,medium,"In &quot;JoJo&#039;s Bizarre Adventure&quot;, Father Enrico Pucchi uses a total of 3 stands in Part 6: Stone Ocean.",True,False
0,General Knowledge,boolean,medium,&quot;Santa Claus&quot; is a variety of melon.,True,False
0,Entertainment: Japanese Anime & Manga,boolean,hard,"In the &quot;Kagerou Daze&quot; series, Shintaro Kisaragi is prominently shown with the color red.",True,False
0,Geography,boolean,easy,"Rhode Island is actually located on the US mainland, despite its name.",True,False
0,Animals,boolean,medium,You can tell the age of a ladybird by counting the spots on his back.,False,True
0,Entertainment: Music,boolean,easy,The music group Daft Punk got their name from a negative review they recieved.,True,False
0,Entertainment: Video Games,boolean,easy,"The name of the main character of the video game &quot;The Legend of Zelda&quot;, is Zelda.",False,True
0,Entertainment: Japanese Anime & Manga,boolean,easy,Clefairy was intended to be Ash&#039;s starting Pok&eacute;mon in the pilot episode of the cartoon.,True,False
0,Entertainment: Music,boolean,medium,Soulja Boy&#039;s &#039;Crank That&#039; won a Grammy for Best Rap Song in 2007.,False,True
0,Entertainment: Video Games,boolean,medium,Super Mario Bros. was released in 1990.,False,True
0,General Knowledge,boolean,hard,This is the correct spelling of &quot;Supercalifragilisticexpialidocious&quot;.,True,False
0,Entertainment: Video Games,boolean,easy,"In &quot;Super Mario 64&quot;, collecting 100 coins on a level will give you a 1-UP.",False,True
0,Entertainment: Video Games,boolean,easy,&quot;Undertale&quot; is an RPG created by Toby Fox and released in 2015.,True,False
0,Geography,boolean,medium,"The longest place named in the United States is Lake Chargoggagoggmanchauggagoggchaubunagungamaugg, located near Webster, MA.",True,False
0,Entertainment: Video Games,boolean,easy,"In &quot;Super Mario Bros.&quot;, the clouds and bushes have the same artwork and are just different colors.",True,False
0,Entertainment: Film,boolean,easy,"In the original script of &quot;The Matrix&quot;, the machines used humans as additional computing power instead of batteries.",True,False
0,General Knowledge,boolean,easy,&quot;Ananas&quot; is mostly used as the word for Pineapple in other languages.,True,False
0,General Knowledge,boolean,easy,The color orange is named after the fruit.,True,False
0,Entertainment: Board Games,boolean,easy,The card game &quot;Munchkin&quot; won the 2001 Origins Award for Best Traditional Card Game.,True,False
0,General Knowledge,boolean,medium,The term &quot;Spam&quot; came before the food product &quot;Spam&quot;.,False,True
0,Entertainment: Video Games,boolean,easy,Deus Ex (2000) does not feature the World Trade Center because it was destroyed by terrorist attacks according to the game&#039;s plot.,True,False
0,General Knowledge,boolean,easy,"In 2010, Twitter and the United States Library of Congress partnered together to archive every tweet by American citizens.",True,False
0,History,boolean,medium,Theodore Roosevelt Jr. was the only General involved in the initial assault on D-Day.,True,False
0,Mythology,boolean,medium,The Japanese god Izanagi successfully returned his wife Izanami from the Underworld.,False,True
0,Science: Computers,boolean,medium,AMD created the first consumer 64-bit processor.,True,False
0,Entertainment: Japanese Anime & Manga,boolean,medium,"The anime Attack on Titan was directed by Tetsurō Araki, the same person who directed the anime Highschool of the Dead.",True,False
0,History,boolean,medium,United States President Ronald Reagan was the first president to appoint a woman to the Supreme Court. ,True,False
0,Entertainment: Music,boolean,medium,&quot;The Division Bell&quot; is the final album of the progressive rock band Pink Floyd.,False,True
0,Entertainment: Video Games,boolean,medium,In Riot Games &quot;League of Legends&quot; the name of Halloween event is called &quot;The Reckoning&quot;.,False,True
0,Entertainment: Television,boolean,easy,"In Battlestar Galactica (2004), Cylons were created by man as cybernetic workers and soldiers.",True,False
0,Politics,boolean,medium,"The State of Queensland, Australia voted NO to a referendum for daylight savings in 1992.",True,False
0,Politics,boolean,hard,Nazi Germany surrendered on Harry Truman&#039;s birthday while he was president.,True,False
0,Entertainment: Television,boolean,medium,"Klingons respect their disabled comrades, and those who are old, injuried, and helpless.",False,True
0,Entertainment: Japanese Anime & Manga,boolean,medium,"In &quot;To Love-Ru: Darkness&quot;, Yami reveals her real name is Eve.",True,False
0,General Knowledge,boolean,easy,The National Animal of Scotland is the Unicorn.,True,False
0,Mythology,boolean,easy,A wyvern is the same as a dragon.,False,True
0,Entertainment: Video Games,boolean,easy,&quot;Sonic the Hedgehog 2&quot; originally was going to have a time travel system.,True,False
0,Entertainment: Music,boolean,medium,"Dave Grohl recorded the Foo Fighters&#039; debut, &quot;Foo Fighters,&quot; by himself.",True,False
0,Animals,boolean,easy,Rabbits can see what&#039;s behind themselves without turning their heads.,True,False
0,Entertainment: Board Games,boolean,easy,Snakes and Ladders was originally created in India?,True,False
0,Entertainment: Film,boolean,easy,Leonardo DiCaprio won an Oscar for Best Actor in 2004&#039;s &quot;The Aviator&quot;.,False,True
0,Geography,boolean,easy,Greenland is covered with grass and Iceland covered with ice.,False,True
0,History,boolean,hard,Joseph Stalin&#039;s real name was Ioseb Bessarionis dze Dzugashvili.,True,False
0,General Knowledge,boolean,medium,There are 86400 seconds in a day.,True,False
0,Entertainment: Video Games,boolean,hard,"In the game &quot;Melty Blood Actress Again Current Code&quot;, you can enter Blood Heat mode in Half Moon style.",False,True
0,Entertainment: Video Games,boolean,medium,The Ace Attorney trilogy was suppose to end with &quot;Phoenix Wright: Ace Attorney &minus; Trials and Tribulations&quot; as its final game.,True,False
0,Sports,boolean,easy,Peyton Manning retired after winning Super Bowl XLIX.,False,True
0,Entertainment: Video Games,boolean,easy,&quot;Half-Life 2&quot; runs on the Source Engine.,True,False
0,General Knowledge,boolean,medium,An eggplant is a vegetable.,False,True
0,Entertainment: Video Games,boolean,easy,Big the Cat is a playable character in &quot;Sonic Generations&quot;.,False,True
0,Mythology,boolean,easy,"According to Greek Mythology, Zeus can control lightning.",True,False
0,General Knowledge,boolean,easy,You can legally drink alcohol while driving in Mississippi.,True,False
0,Entertainment: Video Games,boolean,hard,"In Undertale, having a &quot;Fun Value&quot; set to 56-57 will play the &quot;Wrong Number Song Call&quot;.",False,True
0,Geography,boolean,medium,The Sonoran Desert is located in eastern Africa.,False,True
0,Entertainment: Video Games,boolean,easy,"In Splatoon, the Squid Sisters are named Tako and Yaki.",False,True
0,Sports,boolean,medium,The Olympics tennis court is a giant green screen.,True,False
0,Entertainment: Japanese Anime & Manga,boolean,easy,"In Pok&eacute;mon, Ash&#039;s Pikachu refuses to go into a pokeball.",True,False
0,Entertainment: Video Games,boolean,easy,The end credits sequence in Grand Theft Auto 5 is over half an hour long.,True,False
0,Entertainment: Video Games,boolean,hard,The names of Roxas&#039;s Keyblades in Kingdom Hearts are &quot;Oathkeeper&quot; and &quot;Oblivion&quot;.,True,False
0,Entertainment: Video Games,boolean,easy,"In the game Dead by Daylight, the killer Michael Myers is refered to as &quot;The Shape&quot;.",True,False
0,Vehicles,boolean,medium,The General Motors EV1 was the first street-legal production electric vehicle.,False,True
0,Entertainment: Video Games,boolean,medium,Pistons were added to Minecraft in Beta 1.5.,False,True
0,Science: Computers,boolean,medium,The last Windows operating system to be based on the Windows 9x kernel was Windows 98.,False,True
